city,latitude,longitude,population
"New York, NY",40.7128,-74.006,8336817
"Los Angeles, CA",34.0522,-118.2437,3979576
"Chicago, IL",41.8781,-87.6298,2693976
"Houston, TX",29.7604,-95.3698,2320268
"Phoenix, AZ",33.4484,-112.074,1680992
"Philadelphia, PA",39.9526,-75.1652,1584064
"San Antonio, TX",29.4241,-98.4936,1547253
"San Diego, CA",32.7157,-117.1611,1423851
"Dallas, TX",32.7767,-96.797,1343573
"San Jose, CA",37.3382,-121.8863,1021795
"Austin, TX",30.2672,-97.7431,978908
"Jacksonville, FL",30.3322,-81.6557,911507
"Fort Worth, TX",32.7555,-97.3308,909585
"Columbus, OH",39.9612,-82.9988,898553
"Indianapolis, IN",39.7684,-86.1581,876384
"Charlotte, NC",35.2271,-80.8431,885708
"San Francisco, CA",37.7749,-122.4194,881549
"Seattle, WA",47.6062,-122.3321,753675
"Denver, CO",39.7392,-104.9903,727211
"Washington, DC",38.9072,-77.0369,705749
"Boston, MA",42.3601,-71.0589,692600
"El Paso, TX",31.7619,-106.485,681728
"Detroit, MI",42.3314,-83.0458,670031
"Nashville, TN",36.1627,-86.7816,670820
"Portland, OR",45.5152,-122.6784,654741
"Memphis, TN",35.1495,-90.049,651073
"Oklahoma City, OK",35.4676,-97.5164,655057
"Las Vegas, NV",36.1699,-115.1398,651319
"Louisville, KY",38.2527,-85.7585,617638
"Baltimore, MD",39.2904,-76.6122,593490
"Milwaukee, WI",43.0389,-87.9065,590157
"Albuquerque, NM",35.0844,-106.6504,560513
"Tucson, AZ",32.2226,-110.9747,548073
"Fresno, CA",36.7378,-119.7871,531576
"Mesa, AZ",33.4152,-111.8315,518012
"Sacramento, CA",38.5816,-121.4944,513625
"Atlanta, GA",33.749,-84.388,506811
"Kansas City, MO",39.0997,-94.5786,508090
"Miami, FL",25.7617,-80.1918,467963
"Raleigh, NC",35.7796,-78.6382,474069
"Omaha, NE",41.2565,-95.9345,478192
"Long Beach, CA",33.7701,-118.1937,466742
"Virginia Beach, VA",36.8529,-75.978,449974
"Oakland, CA",37.8044,-122.2711,433031
"Minneapolis, MN",44.9778,-93.265,429606
"Tulsa, OK",36.15398,-95.9928,401190
"Tampa, FL",27.9506,-82.4572,399700
"Arlington, TX",32.7357,-97.1081,398854
"Aurora, CO",39.7294,-104.8319,379289
"New Orleans, LA",29.9511,-90.0715,390144
"Bakersfield, CA",35.3733,-119.0187,383579
"Wichita, KS",37.6872,-97.3301,389938
"Cleveland, OH",41.4993,-81.6944,381009
"Anaheim, CA",33.8366,-117.9143,350365
"Lexington, KY",38.0406,-84.5037,323780
"Stockton, CA",37.9577,-121.2908,312697
"Corpus Christi, TX",27.8006,-97.3964,326554
"St. Louis, MO",38.627,-90.1994,301578
"Cincinnati, OH",39.1031,-84.512,303940
"Pittsburgh, PA",40.4406,-79.9959,303944
"Greensboro, NC",36.0726,-79.792,296710
"Plano, TX",33.0198,-96.6989,287677
"Lincoln, NE",40.8136,-96.7026,294929
"Buffalo, NY",42.8864,-78.8784,255284
"Chandler, AZ",33.3062,-111.8413,261165
"Norfolk, VA",36.8508,-76.2859,242742
"Madison, WI",43.0731,-89.4012,259680
"Lubbock, TX",33.5779,-101.8552,258862
"Reno, NV",39.5296,-119.8138,255601
"Henderson, NV",36.0395,-114.9817,320189
